CLASSIFICADOR,F1,PRECISAO,REVOGACAO,TESTE [s] ,TREINAMENTO [s]
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'leaf_size': 45, 'metric': 'canberra', 'n_neighbors': 20, 'novelty': True}",0.75,0.75,0.75,0.0019960403442382812,0.007977724075317383
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.1, 'leaf_size': 30, 'metric': 'canberra', 'n_neighbors': 15, 'novelty': True}",0.75,0.75,0.75,0.003989458084106445,0.0029916763305664062
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.1, 'leaf_size': 30, 'metric': 'canberra', 'n_neighbors': 10, 'novelty': True}",0.75,0.75,0.75,0.0029926300048828125,0.0029914379119873047
"Floresta de Isolamento: {'bootstrap': False, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 0.75, 'n_estimators': 50, 'random_state': 1}",0.75,0.75,0.75,0.02692890167236328,0.11768555641174316
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'leaf_size': 30, 'metric': 'canberra', 'n_neighbors': 15, 'novelty': True}",0.75,0.75,0.75,0.0009984970092773438,0.0019943714141845703
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.1, 'leaf_size': 15, 'metric': 'cityblock', 'n_neighbors': 5, 'novelty': True}",0.75,0.75,0.75,0.0019948482513427734,0.000997304916381836
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.1, 'leaf_size': 45, 'metric': 'canberra', 'n_neighbors': 20, 'novelty': True}",0.75,0.75,0.75,0.0029916763305664062,0.002991914749145508
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.1, 'leaf_size': 15, 'metric': 'canberra', 'n_neighbors': 10, 'novelty': True}",0.75,0.75,0.75,0.0049860477447509766,0.0019941329956054688
"Envelope Elíptico: {'assume_centered': False, 'contamination': 0.05, 'random_state': 1, 'support_fraction': 0.8}",0.75,0.75,0.75,0.001995086669921875,0.09824776649475098
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'leaf_size': 45, 'metric': 'canberra', 'n_neighbors': 15, 'novelty': True}",0.75,0.75,0.75,0.007978677749633789,0.0019948482513427734
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.1, 'leaf_size': 30, 'metric': 'cityblock', 'n_neighbors': 5, 'novelty': True}",0.75,0.75,0.75,0.0029914379119873047,0.0029914379119873047
"Envelope Elíptico: {'assume_centered': False, 'contamination': 0.1, 'random_state': 1, 'support_fraction': 0.8}",0.75,0.75,0.75,0.0029909610748291016,0.05485343933105469
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'leaf_size': 15, 'metric': 'canberra', 'n_neighbors': 15, 'novelty': True}",0.75,0.75,0.75,0.001992940902709961,0.0009975433349609375
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 150, 'random_state': 1}",0.75,0.75,0.75,0.09873604774475098,0.3031892776489258
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.1, 'leaf_size': 45, 'metric': 'manhattan', 'n_neighbors': 5, 'novelty': True}",0.75,0.75,0.75,0.0019948482513427734,0.002991914749145508
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'leaf_size': 15, 'metric': 'canberra', 'n_neighbors': 20, 'novelty': True}",0.75,0.75,0.75,0.0029916763305664062,0.00498652458190918
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.1, 'leaf_size': 30, 'metric': 'l1', 'n_neighbors': 5, 'novelty': True}",0.75,0.75,0.75,0.004510402679443359,0.0019943714141845703
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'leaf_size': 15, 'metric': 'canberra', 'n_neighbors': 10, 'novelty': True}",0.75,0.75,0.75,0.002991914749145508,0.0029926300048828125
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 200, 'random_state': 1}",0.75,0.75,0.75,0.10471987724304199,0.48769640922546387
"One-Class SVM: {'gamma': 'auto', 'kernel': 'rbf', 'nu': 0.01}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0019943714141845703,0.001995563507080078
"One-Class SVM: {'gamma': 'auto', 'kernel': 'rbf', 'nu': 0.1}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0029914379119873047,0.00498652458190918
"One-Class SVM: {'gamma': 0.1, 'kernel': 'linear', 'nu': 0.5}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0009975433349609375,0.003988742828369141
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.1, 'leaf_size': 30, 'metric': 'braycurtis', 'n_neighbors': 5, 'novelty': True}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0019941329956054688,0.0029914379119873047
"One-Class SVM: {'gamma': 0.1, 'kernel': 'linear', 'nu': 0.1}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.000997304916381836,0.0019943714141845703
"One-Class SVM: {'gamma': 0.1, 'kernel': 'linear', 'nu': 0.01}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0019948482513427734,0.004986763000488281
"One-Class SVM: {'gamma': 0.1, 'kernel': 'linear', 'nu': 0.001}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0009984970092773438,0.0009975433349609375
"One-Class SVM: {'gamma': 0.1, 'kernel': 'linear', 'nu': 0.0001}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.001994609832763672,0.002992391586303711
"One-Class SVM: {'gamma': 0.01, 'kernel': 'sigmoid', 'nu': 0.5}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.000997304916381836,0.003989696502685547
"One-Class SVM: {'gamma': 'auto', 'kernel': 'sigmoid', 'nu': 0.001}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0009970664978027344,0.004987239837646484
"One-Class SVM: {'gamma': 0.01, 'kernel': 'sigmoid', 'nu': 0.1}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.002991199493408203,0.0009982585906982422
"One-Class SVM: {'gamma': 0.01, 'kernel': 'sigmoid', 'nu': 0.01}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0029914379119873047,0.0019953250885009766
"One-Class SVM: {'gamma': 0.01, 'kernel': 'rbf', 'nu': 0.01}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0019960403442382812,0.0019941329956054688
"One-Class SVM: {'gamma': 'auto', 'kernel': 'rbf', 'nu': 0.001}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0009970664978027344,0.002992391586303711
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'leaf_size': 15, 'metric': 'correlation', 'n_neighbors': 10, 'novelty': True}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.001994609832763672,0.0019943714141845703
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.01, 'leaf_size': 30, 'metric': 'correlation', 'n_neighbors': 10, 'novelty': True}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.002991914749145508,0.0019948482513427734
"One-Class SVM: {'gamma': 0.0001, 'kernel': 'linear', 'nu': 0.01}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.00399017333984375,0.0009970664978027344
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.01, 'leaf_size': 30, 'metric': 'correlation', 'n_neighbors': 20, 'novelty': True}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.001995086669921875,0.003989458084106445
